Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,County,Constituency,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation,Facility Type NAME
3,CONSOLATA NKUBU MISS. HOSPITAL,1182,EASTERN,CENTRAL MERU,NKUENE,NKUENE,MERU,NORTH IMENTI,KATHERA(CMERU),HD MAPS,1,MISS,"(-0.06801700000, 37.66220000000)","Hospital Moh and Mission Districts, sub-districts"
16,GITHONGO SUB DISTRICT HOSPITAL,1167,EASTERN,CENTRAL MERU,ABOTHUGUCHI WEST,GITHONGO EAST,MERU,NORTH IMENTI,KARUGWA,DSA/DFH(MOH)-UNFPA REPORT,1,MOH,"(-0.00573900000, 37.62150000000)","Hospital Moh and Mission Districts, sub-districts"
19,IGOJI MISSION HOSPITAL,1184,EASTERN,CENTRAL MERU,IGOJI,IGOJI,MERU,NORTH IMENTI,KUIRI,DSA/DFH(MOH)-UNFPA REPORT,1,MISS,"(-0.19379900000, 37.66520000000)","Hospital Moh and Mission Districts, sub-districts"
37,KIRUA COTTAGE HOSPITAL,2399,EASTERN,CENTRAL MERU,BUURI,KIIRUA,MERU,NORTH IMENTI,KIIRUA,DSA/DFH(MOH)-UNFPA REPORT,1,MISS,"(0.13039900000, 37.56380000000)","Hospital Moh and Mission Districts, sub-districts"
46,MERU DISTRICT HOSPITAL,1181,EASTERN,CENTRAL MERU,MIRIGA MIERU WEST,MUNICIPALITY,MERU,NORTH IMENTI,KAAGA2,HD MAPS,1,MOH,"(0.06092800000, 37.66410000000)","Hospital Moh and Mission Districts, sub-districts"
30,CONSOLATA HOSPITAL KYENI,4261,EASTERN,EMBU,KYENI,KYENI SOUTH,EMBU,RUNYENJES,KATHANJURI,HD MAPS,1,MISS,"(-0.41737600000, 37.59680000000)","Hospital Moh and Mission Districts, sub-districts"
39,RUNYENJES SUB-DISTRICT HOSPITAL,842,EASTERN,EMBU,RUNYENJES,RUNYENJES TOWN,EMBU,RUNYENJES,KIGAA,DSA/DFH(MOH)-UNFPA REPORT,1,MOH,"(-0.42463500000, 37.56980000000)","Hospital Moh and Mission Districts, sub-districts"
11,ISIOLO DISTRICT HOSPITAL,873,EASTERN,ISIOLO,CENTRAL,CENTRAL,ISIOLO,ISIOLO NORTH,KAMPI ODHA,HD MAPS,1,MOH,"(0.37510000000, 37.58120000000)","Hospital Moh and Mission Districts, sub-districts"
24,KITUI DISTRICT HOSPITAL,930,EASTERN,KITUI,CENTRAL,TOWNSHIP,KITUI,KITUI EAST,TOWNSHIP(KITUI),HD MAPS,1,MOH,"(-1.36660000000, 38.01630000000)","Hospital Moh and Mission Districts, sub-districts"
38,MUTHALE MISS HOSPITAL,3092,EASTERN,KITUI,KABATI,MUTONGUNI,KITUI,KITUI EAST,KAIMU,HD MAPS,1,MISS,"(-1.17637000000, 37.99690000000)","Hospital Moh and Mission Districts, sub-districts"
42,MUTOMO MISS HOSPITAL,902,EASTERN,KITUI,MUTOMO,MUTOMO,KITUI,KITUI EAST,KANDAE,HD MAPS,1,MISS,"(-1.85566000000, 38.19610000000)","Hospital Moh and Mission Districts, sub-districts"
1,BISHOP U. KIOKO CATHOLIC HOSPITAL,0,EASTERN,MACHAKOS,CENTRAL,MASAKU,MACHAKOS,YATTA,EASTLEIGH,ILRI MKT CENTRES,1,MISS,"(-1.51643000000, 37.26928000000)","Hospital Moh and Mission Districts, sub-districts"
3,FRANCISCAN CONVENT HOSPITAL,3890,EASTERN,MACHAKOS,KANGUNDO,KANGUNDO,MACHAKOS,YATTA,MAIUNI,ILRI MKT CENTRES,1,MISS,"(-1.29830300000, 37.35908400000)","Hospital Moh and Mission Districts, sub-districts"
17,KANGUNDO HOSPITAL,1037,EASTERN,MACHAKOS,KANGUNDO,KANGUNDO,MACHAKOS,YATTA,ISINGA,HD MAPS,1,MOH,"(-1.28944000000, 37.34450000000)","Hospital Moh and Mission Districts, sub-districts"
23,KATHIANI HOSPITAL,1038,EASTERN,MACHAKOS,KATHIANI,KATHIANI,MACHAKOS,YATTA,KATHIANI(MACHAKOS),HD MAPS,1,MOH,"(-1.41667000000, 37.32910000000)","Hospital Moh and Mission Districts, sub-districts"
49,MACHAKOS DISTRICT HOSPITAL,1040,EASTERN,MACHAKOS,CENTRAL,MUMBUNI,MACHAKOS,YATTA,UPPER KIANDANI,1:50000 MAPS,1,MOH,"(-1.50232100000, 37.26323200000)","Hospital Moh and Mission Districts, sub-districts"
0,MOTHER OF MERCY CATHOLIC MISSION HOSP,0,EASTERN,MACHAKOS,,,MACHAKOS,YATTA,,GPS,1,MISS,"(-1.70410000000, 37.35278000000)","Hospital Moh and Mission Districts, sub-districts"
88,TALA (SDA) HOSPITAL,3418,EASTERN,MACHAKOS,MATUNGULU,TALA,MACHAKOS,YATTA,KYAUME,ILRI MKT CENTRES,1,MISS,"(-1.26641800000, 37.32138700000)","Hospital Moh and Mission Districts, sub-districts"
24,KIKOKO MISSION HOSPITAL,1039,EASTERN,MAKUENI,KILUNGU,KIKOKO,MAKUENI,KIBWEZI WEST,KALONGO,GPS,1,MISS,"(-1.80375000000, 37.39525000000)","Hospital Moh and Mission Districts, sub-districts"
43,MAKINDU SUB-DISTRICT HOSPITAL,1041,EASTERN,MAKUENI,MAKINDU,MAKINDU,MAKUENI,KIBWEZI WEST,MANYATTA(MAKUENI),GPS,1,MOH,"(-2.28127000000, 37.82413000000)","Hospital Moh and Mission Districts, sub-districts"
45,MAKUENI DISTRICT HOSPITAL,1042,EASTERN,MAKUENI,WOTE,WOTE,MAKUENI,KIBWEZI WEST,UNOA,GPS,1,MOH,"(-1.78103000000, 37.62703000000)","Hospital Moh and Mission Districts, sub-districts"
53,MBOONI  SDH,1028,EASTERN,MAKUENI,MBOONI,MBOONI,MAKUENI,KIBWEZI WEST,MUTITU(MAKUENI),GPS,1,MOH,"(-1.65649000000, 37.45319000000)","Hospital Moh and Mission Districts, sub-districts"
72,NUNGUNI SDH,1031,EASTERN,MAKUENI,KILUNGU,KITHEMBE,MAKUENI,KIBWEZI WEST,NDUU(MAKUENI),GPS,1,MOH,"(-1.78343000000, 37.35991000000)","Hospital Moh and Mission Districts, sub-districts"
15,"LAISAMIS MISS. HOSPITAL, DIOCESE OF MARSABIT",1067,EASTERN,MARSABIT,LAISAMIS,LAISAMIS,MARSABIT,NORTH HORR,LAISAMIS,DDP,1,MISS,"(1.60010000000, 37.80040000000)","Hospital Moh and Mission Districts, sub-districts"
21,MARSABIT DISTRICT HOSPITAL,1068,EASTERN,MARSABIT,CENTRAL,NAGAYO,MARSABIT,NORTH HORR,MAJENGO(MARSABIT),DHMT,1,MOH,"(2.32483900000, 37.98524900000)","Hospital Moh and Mission Districts, sub-districts"
5,ISHIARA SUB-DISTRICT HOSPITAL,841,EASTERN,MBEERE,EVURORE,ISHIARA,EMBU,RUNYENJES,EVURORE,HD MAPS,1,MOH,"(-0.45217900000, 37.78330000000)","Hospital Moh and Mission Districts, sub-districts"
22,MBEERE DISTRICT HOSP,843,EASTERN,MBEERE,SIAKAGO,NTHAWA,EMBU,RUNYENJES,SIAKAGO,1:50000 MAPS,1,MOH,"(-0.57522500000, 37.64099100000)","Hospital Moh and Mission Districts, sub-districts"
51,MWEA COTTAGE HOSPITAL,0,EASTERN,MBEERE,MWEA,MAKIMA,EMBU,RUNYENJES,MWEA,ILRI VILLAGES,1,MISS,"(-0.75000000000, 37.48000000000)","Hospital Moh and Mission Districts, sub-districts"
7,MOYALE DISTRICT HOSPITAL,1069,EASTERN,MOYALE,CENTRAL,BUTIYE,MARSABIT,NORTH HORR,BUTIYE,DDP,1,MOH,"(3.49971200000, 39.02607700000)","Hospital Moh and Mission Districts, sub-districts"
8,SOLOLO MISS. HOSPITAL,1070,EASTERN,MOYALE,OBBU,SOLOLO MAKUTANO,MARSABIT,NORTH HORR,SOLOLO MAKUTANO,DDP,1,MISS,"(3.28895700000, 38.67203500000)","Hospital Moh and Mission Districts, sub-districts"
18,KYUSO SUB-DISTRICT HOSP,4204,EASTERN,MWINGI,KYUSO,KIMANGAO,KITUI,KITUI EAST,KIMANGAO,1:50000 MAPS,1,MOH,"(-0.53231000000, 38.16232000000)","Hospital Moh and Mission Districts, sub-districts"
20,MIGWANI SUB-DISTRICT HOSP,923,EASTERN,MWINGI,MIGWANI,MIGWANI,KITUI,KITUI EAST,KALILUNI(MWINGI),DSA/DFH(MOH)-UNFPA REPORT,1,MOH,"(-1.08919000000, 38.00620000000)","Hospital Moh and Mission Districts, sub-districts"
24,MWINGI DISTRICT HOSPITAL,932,EASTERN,MWINGI,CENTRAL,MWINGI,KITUI,KITUI EAST,KYANIKA(MWINGI),HD MAPS,1,MOH,"(-0.93340000000, 38.06730000000)","Hospital Moh and Mission Districts, sub-districts"
19,MAUA METHODIST HOSPITAL,1180,EASTERN,NORTH MERU,IGEMBE CENTRAL,MAUA,MERU,NORTH IMENTI,KAIBU,HD MAPS,1,MISS,"(0.23320000000, 37.93350000000)","Hospital Moh and Mission Districts, sub-districts"
22,MIATHENE SUB-DISTRICT HOSPITAL,1172,EASTERN,NORTH MERU,TIGANIA WEST,MIATHENE,MERU,NORTH IMENTI,MIATHENE,HD MAPS,1,MOH,"(0.14875000000, 37.79120000000)","Hospital Moh and Mission Districts, sub-districts"
23,MIKINDURI COTTAGE HOSPITAL,0,EASTERN,NORTH MERU,TIGANIA CENTRAL,MIKINDURI WEST,MERU,NORTH IMENTI,ANJUKI,ILRI MKT CENTRES,1,MISS,"(0.12617400000, 37.83414700000)","Hospital Moh and Mission Districts, sub-districts"
33,NYAMBENE DISTRICT HOSPITAL,4423,EASTERN,NORTH MERU,IGEMBE CENTRAL,MAUA,MERU,NORTH IMENTI,KAIBU,1:50000 MAPS,1,MOH,"(0.24212300000, 37.93232000000)","Hospital Moh and Mission Districts, sub-districts"
36,TIGANIA CATHOLIC HOSPITAL,1183,EASTERN,NORTH MERU,TIGANIA NORTH,MUTHARA,MERU,NORTH IMENTI,ATHANJA,DHMT,1,MISS,"(0.20715000000, 37.78382100000)","Hospital Moh and Mission Districts, sub-districts"
1,CHUKA CONSOLATA COTTAGE HOSPITAL,1166,EASTERN,SOUTH MERU,CHUKA,KIANG'ONDU,THARAKA - NITHI,MAARA,KIANG'ONDU,ILRI MKT CENTRES,1,MISS,"(-0.32926000000, 37.64897800000)","Hospital Moh and Mission Districts, sub-districts"
2,CHUKA HOSPITAL,1179,EASTERN,SOUTH MERU,CHUKA,KIANG'ONDU,THARAKA - NITHI,MAARA,KIANG'ONDU,1:50000 MAPS,1,MOH,"(-0.32748000000, 37.64549600000)","Hospital Moh and Mission Districts, sub-districts"
34,MAGUTUNI SUB-DISTRICT HOSPITAL,1126,EASTERN,SOUTH MERU,MWIMBI,KIERA,THARAKA - NITHI,MAARA,MAGUTUNI,1:50000 MAPS,1,MOH,"(-0.23523000000, 37.75123500000)","Hospital Moh and Mission Districts, sub-districts"
47,P.C.E.A. CHOGORIA MISS. HOSP,1178,EASTERN,SOUTH MERU,MWIMBI,CHOGORIA,THARAKA - NITHI,MAARA,CHOGORIA,1:50000 MAPS,1,MISS,"(-0.21121000000, 37.60650000000)","Hospital Moh and Mission Districts, sub-districts"
11,MATIRI MISSION HOSPITAL,3556,EASTERN,THARAKA,SOUTH THARAKA,CHIAKARIGA,THARAKA - NITHI,MAARA,CHIAKARIGA,DHMT,1,MISS,"(-0.31234000000, 37.91243000000)","Hospital Moh and Mission Districts, sub-districts"
9,THARAKA DISTRICT HOSPITAL,1170,EASTERN,THARAKA,CENTRAL THARAKA,MARIMANTI,THARAKA - NITHI,MAARA,KIRANGARE,DHMT,1,MOH,"(-0.16000000000, 37.97000000000)","Hospital Moh and Mission Districts, sub-districts"
8,DAGAHALEY HOSPITAL,2512,N. EASTERN,GARISSA,DADAAB,DAGAHALEY,GARISSA,BALAMBALA,DAGAHALEY(GARISSA),ILRI MKT CENTRES,1,MISS,"(0.15054100000, 40.34285600000)","Hospital Moh and Mission Districts, sub-districts"
12,HAGADERA HOSPITAL,2513,N. EASTERN,GARISSA,JARAJILA,WELMERER,GARISSA,BALAMBALA,WELMERER,ILRI MKT CENTRES,1,MISS,"(0.01613000000, 40.37154400000)","Hospital Moh and Mission Districts, sub-districts"
15,IFO HOSPITAL,2511,N. EASTERN,GARISSA,DADAAB,DADAAB,GARISSA,BALAMBALA,DADAAB,ILRI MKT CENTRES,1,MISS,"(0.07000000000, 40.32000000000)","Hospital Moh and Mission Districts, sub-districts"
12,MANDERA DISTRICT HOSPITAL,1215,N. EASTERN,MANDERA,CENTRAL,BULLA JAMHURIA,MANDERA,MANDERA SOUTH,BULLA POWER,DDP,1,MOH,"(3.95442400000, 41.86181400000)","Hospital Moh and Mission Districts, sub-districts"
26,WAJIR DISTRICT HOSPITAL,1231,N. EASTERN,WAJIR,GRIFTU,KUKALA,WAJIR,WAJIR WEST,KUKALA,HD MAPS,1,MOH,"(1.69090000000, 40.03960000000)","Hospital Moh and Mission Districts, sub-districts"
33,GETRUDES GARDENS CHILDREN'S HOSPITAL,151,NAIROBI,NAIROBI,WESTLANDS,HIGHRIDGE,NAIROBI,KAMUKUNJI,MUTHAIGA,WAYUMBA,1,MISS,"(-1.25317500000, 36.83024900000)","Hospital Moh and Mission Districts, sub-districts"
84,MATER MISERICORDIAE HOSPITAL,159,NAIROBI,NAIROBI,MAKADARA,MUKURU NYAYO,NAIROBI,KAMUKUNJI,NAIROBI SOUTH,WAYUMBA,1,MISS,"(-1.30539300000, 36.83347800000)","Hospital Moh and Mission Districts, sub-districts"
87,MATHARI MENTAL HOSPITAL,160,NAIROBI,NAIROBI,CENTRAL,MATHARE,NAIROBI,KAMUKUNJI,MATHARE,GPS,1,MOH,"(-1.25948900000, 36.84430200000)","Hospital Moh and Mission Districts, sub-districts"
88,MBAGATHI DISTRICT HOSPITAL,154,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,NAIROBI,KAMUKUNJI,GOLF COURSE,GPS,1,MOH,"(-1.30792500000, 36.80224200000)","Hospital Moh and Mission Districts, sub-districts"
3,ARO COMMUNITY HOSP.,0,NYANZA,BONDO,BONDO,NORTH SAKWA,SIAYA,UGENYA,BAR CHANDO,GPS,1,NGO,"(-0.06953000000, 34.35579000000)","Hospital Moh and Mission Districts, sub-districts"
4,BONDO DISTRICT HOSPITAL,1367,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,SIAYA,UGENYA,NYAWITA(BONDO),GPS,1,MOH,"(-0.09021000000, 34.27450000000)","Hospital Moh and Mission Districts, sub-districts"
25,ST. ELIZABETH LWAK MISS. HOSPITAL,0,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,SIAYA,UGENYA,MEMBA,GPS,1,MISS,"(-0.13782000000, 34.35698000000)","Hospital Moh and Mission Districts, sub-districts"
23,OGEMBO DISTRICT HOSPITAL,1261,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,KISII,NYARIBARI CHACHE,NYANSAKIA,GPS,1,MOH,"(-0.79398300000, 34.72551700000)","Hospital Moh and Mission Districts, sub-districts"
28,TABAKA MISSION HOSPITAL,1266,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CHACHE,KISII,NYARIBARI CHACHE,TABAKA,GPS,1,MISS,"(-0.74451700000, 34.66650000000)","Hospital Moh and Mission Districts, sub-districts"
